Boat,Name,Seat
Girls Varsity 1,Emma Davis,Stroke
Girls Varsity 1,Olivia Chen,7
Girls Varsity 1,Ava Patel,6
Girls Varsity 1,Sophia Kim,5
Girls Varsity 1,Isabella Nguyen,4
Girls Varsity 1,Mia Torres,3
Girls Varsity 1,Charlotte Lee,2
Girls Varsity 1,Amelia Johnson,Bow
Girls Varsity 1,Harper Williams,Cox
Girls Varsity 2,Evelyn Brown,Stroke
Girls Varsity 2,Abigail Martinez,7
Girls Varsity 2,Emily Anderson,6
Girls Varsity 2,Elizabeth Taylor,5
Girls Varsity 2,Sofia Wilson,4
Girls Varsity 2,Avery Thomas,3
Girls Varsity 2,Ella Jackson,2
Girls Varsity 2,Scarlett White,Bow
Girls Varsity 2,Grace Harris,Cox
Girls JV 1,Chloe Martin,Stroke
Girls JV 1,Penelope Garcia,7
Girls JV 1,Layla Miller,6
Girls JV 1,Riley Davis,5
Girls JV 1,Zoey Rodriguez,4
Girls JV 1,Nora Martinez,Cox
Girls JV 2,Hannah Lopez,Stroke
Girls JV 2,Lily Gonzalez,7
Girls JV 2,Eleanor Perez,Cox
Boys Varsity 1,Liam Smith,Stroke
Boys Varsity 1,Noah Johnson,7
Boys Varsity 1,William Jones,6
Boys Varsity 1,James Brown,5
Boys Varsity 1,Oliver Davis,4
Boys Varsity 1,Benjamin Miller,3
Boys Varsity 1,Elijah Wilson,2
Boys Varsity 1,Lucas Moore,Bow
Boys Varsity 1,Mason Taylor,Cox
Boys Varsity 2,Ethan Anderson,Stroke
Boys Varsity 2,Alexander Thomas,7
Boys Varsity 2,Henry Jackson,6
Boys Varsity 2,Sebastian White,5
Boys Varsity 2,Jackson Harris,4
Boys Varsity 2,Aiden Martin,3
Boys Varsity 2,Matthew Garcia,2
Boys Varsity 2,Samuel Miller,Bow
Boys Varsity 2,David Davis,Cox
Boys JV 1,Joseph Rodriguez,Stroke
Boys JV 1,Carter Martinez,7
Boys JV 1,Owen Lopez,6
Boys JV 1,Wyatt Gonzalez,5
Boys JV 1,John Perez,Cox
Boys JV 2,Jack Wilson,Stroke
Boys JV 2,Luke Moore,7
Boys JV 2,Isaiah Taylor,Cox
